cerveceria;ubicacion;instagram
Fierabrás;Barranquilla, Atlántico;cervezafierabras
BBC;Bogotá, Cundinamarca;bbccerveceria
Cervezas Kalima;Cali, Valle del Cauca;cervezaskalima
Cervecería Cartagena;Cartagena, Bolívar;ctgcraftbeer
Bari Cerveza Artesanal;Cúcuta, Norte de Santander;cervezabari
Perro Bravo;El Retiro, Antioquia;perrobravo.cerveza
Torrealta Cervecería;El Retiro, Antioquia;torrealta_cerveceria
67 Drink House;Envigado, Antioquia;67drinkhouse
Waresa Craft Beer;Envigado, Antioquia;waresacraftbeer
Lino Brewing Company;Funza, Cundinamarca;lino_brewing
20 Mission;Medellín, Antioquia;20missioncerveza
3 Cordilleras;Medellín, Antioquia;3cordilleras
4S Cerveza Artesanal;Medellín, Antioquia;4smedellin
Cervecería Resolana;Medellín, Antioquia;resolana.cerveceria
Rincón del Mar;Medellín, Antioquia;rincondelmarcerveceria
Nevada Cerveceria;Santa Marta, Magdalena;nevadacerveceria
Bruder;Tunja, Boyacá;bruder_cerveza
7 Cerros Cervecería Artesanal;Medellín, Antioquia;cerveceria7cerros
Cervecería Panzer;Medellín, Antioquia;cerveceriapanzer
Cervecería Festa;Medellín, Antioquia;cerveceria.festa
Antaño Cervecería Artesanal;Cali, Valle del Cauca;antano_ca
