cerveza;cerveceria;estilo;abv
Blonde;20 Mission;Blonde Ale;5
IPA;20 Mission;India Pale Ale (IPA);6
Pale Ale;20 Mission;Pale Ale;5
Porter;20 Mission;Porter;5.5
Saison;20 Mission;Saison;6
Witbier;20 Mission;Witbier;5
Blanca;3 Cordilleras;Wheat Ale;4.6
Mestiza;3 Cordilleras;American Pale Ale;4.8
Mona;3 Cordilleras;Blonde Ale;3.9
Mulata;3 Cordilleras;Amber Ale;5.2
Negra;3 Cordilleras;Sweet Stout;6.4
Rose;3 Cordilleras;Rose;3.8
Blonde Ale;4S Cerveza Artesanal;Blonde Ale;4.9
Porter;4S Cerveza Artesanal;Porter;6.4
Red Ale;4S Cerveza Artesanal;Red Ale;4.7
Saison;4S Cerveza Artesanal;Saison;8
No. 1;67 Drink House;Blonde Ale;5
No. 2;67 Drink House;Irish Red Ale;5
No. 3;67 Drink House;Vienna Lager;5
No. 4;67 Drink House;New England IPA (NEIPA);5
Eclipse;Bari Cerveza Artesanal;Witbier;5.5
Salazar;Bari Cerveza Artesanal;Coffee Stout;6
Bacatá;BBC;Witbier;4.1
Cajicá;BBC;Honey Ale;5.3
Chapinero;BBC;Porter;5
Lager;BBC;Lager;5
Macondo;BBC;Stout;5
Monserrate;BBC;Bitter;5
Rubia;BBC;Lager;5
Septimazo;BBC;India Pale Ale (IPA);6
Barley Wine;Bruder;British Ale;12
Café;Bruder;Schwartzbier;5
Chocolate;Bruder;Chocolate Stout;8.5
Dog Lover;Bruder;Vienna Lager;4.5
Imperial Strout;Bruder;Imperial Strout;8.5
IPA Maracuyá;Bruder;India Pale Ale (IPA);6.5
Maracuyá;Bruder;Belgian Ale;5
Pueblito;Bruder;Pilsen Lager;4.5
Roja;Bruder;Vienna Lager;4.5
Rubia;Bruder;Pilsen Lager;4.5
Golden;Cervecería Cartagena;Golden Ale;4.5
Porter;Cervecería Cartagena;Porter;5.5
Roja;Cervecería Cartagena;Irish Red Ale;3.5
Nuqui;Cervecería Resolana;Pale Ale;5.5
Tayrona;Cervecería Resolana;Hoppy Blonde;4.5
Alexa;Cervezas Kalima;Blonde Ale;5.2
Finca;Cervezas Kalima;India Pale Ale (IPA);6
Más Música Local;Cervezas Kalima;Double IPA;8
Vinilo;Cervezas Kalima;Stout Ale;5.5
Dulcinea;Fierabrás;Brown Ale;5
Isabel la Católica;Fierabrás;Blonde Ale;4.8
Juana de Arco;Fierabrás;Porter;5
Maria Antonieta;Fierabrás;Pale Ale;5
Colaa;Lino Brewing Company;Amber Ale;5
Colpa;Lino Brewing Company;Pale Ale;5
Cols;Lino Brewing Company;Stout;5
Neipa;Lino Brewing Company;New England IPA (NEIPA);7
Happy Ayu;Nevada Cerveceria;Pale Ale;5
Happy Colibrí;Nevada Cerveceria;Coffee Stout;7
Happy Garceta;Nevada Cerveceria;Kolsch;5
Happy Nebbi;Nevada Cerveceria;Pilsner;5
Happy Pava;Nevada Cerveceria;Pilsner;5
Happy Trepadora;Nevada Cerveceria;Citra IPA;4.3
Happy Tucán;Nevada Cerveceria;Irish Red Ale;5
Saison;Perro Bravo;Saison;6
UchuvIPA;Perro Bravo;UchuvIPA;6
Açaí;Rincón del Mar;Irish Red Ale;6.7
Cacao;Rincón del Mar;Irish Red Ale;6.2
Canábica;Rincón del Mar;Irish Red Ale;6.7
Coca;Rincón del Mar;American Pale Ale;6.2
Colorada;Rincón del Mar;Irish Red Ale;5.5
Gringa;Rincón del Mar;American Pale Ale;6.3
La Provinciana;Torrealta Cervecería;French Saison;6.5
American Pale Ale;Waresa Craft Beer;American Pale Ale;5
Double IPA;Waresa Craft Beer;Double IPA;8
Scottish Export;Waresa Craft Beer;Scottish Export;5.8
Weissbier;Waresa Craft Beer;Weissbier;5
Nutibara;7 Cerros Cervecería Artesanal;Irish Red Ale;4.6
Picacho;7 Cerros Cervecería Artesanal;Oatmeal Stout;6
Sto. Domingo;7 Cerros Cervecería Artesanal;American Pale Ale;4.9
Asomadera;7 Cerros Cervecería Artesanal;Spicy White IPA;7.5
Roja;Cervecería Panzer;Irish Red Ale;5
Barranquilla;Cervecería Festa;Golden Ale;4.7
Izzy;Antaño Cervecería Artesanal;American Pale Ale;5
Tejadita;Antaño Cervecería Artesanal;Witbier;5
