cerveceria;cerveza;tipo_ingrediente;ingrediente
20 Mission;Blonde;Agua;Agua
20 Mission;IPA;Agua;Agua
20 Mission;Pale Ale;Agua;Agua
20 Mission;Porter;Agua;Agua
20 Mission;Saison;Agua;Agua
20 Mission;Witbier;Agua;Agua
3 Cordilleras;Blanca;Agua;Agua
3 Cordilleras;Mestiza;Agua;Agua
3 Cordilleras;Mona;Agua;Agua
3 Cordilleras;Mulata;Agua;Agua
3 Cordilleras;Negra;Agua;Agua
3 Cordilleras;Rose;Agua;Agua
4S Cerveza Artesanal;Blonde Ale;Agua;Agua
4S Cerveza Artesanal;Porter;Agua;Agua
4S Cerveza Artesanal;Red Ale;Agua;Agua
4S Cerveza Artesanal;Saison;Agua;Agua
67 Drink House;No. 1;Agua;Agua
67 Drink House;No. 2;Agua;Agua
67 Drink House;No. 3;Agua;Agua
67 Drink House;No. 4;Agua;Agua
7 Cerros Cervecería Artesanal;Asomadera;Agua;Agua
7 Cerros Cervecería Artesanal;Nutibara;Agua;Agua
7 Cerros Cervecería Artesanal;Picacho;Agua;Agua
7 Cerros Cervecería Artesanal;Sto. Domingo;Agua;Agua
Antaño Cervecería Artesanal;Izzy;Agua;Agua
Antaño Cervecería Artesanal;Tejadita;Agua;Agua
BBC;Bacatá;Agua;Agua
BBC;Cajicá;Agua;Agua
BBC;Chapinero;Agua;Agua
BBC;Lager;Agua;Agua
BBC;Macondo;Agua;Agua
BBC;Monserrate;Agua;Agua
BBC;Rubia;Agua;Agua
BBC;Septimazo;Agua;Agua
Bari Cerveza Artesanal;Eclipse;Agua;Agua
Bari Cerveza Artesanal;Salazar;Agua;Agua
Bruder;Barley Wine;Agua;Agua
Bruder;Café;Agua;Agua
Bruder;Chocolate;Agua;Agua
Bruder;Dog Lover;Agua;Agua
Bruder;IPA Maracuyá;Agua;Agua
Bruder;Imperial Strout;Agua;Agua
Bruder;Maracuyá;Agua;Agua
Bruder;Pueblito;Agua;Agua
Bruder;Roja;Agua;Agua
Bruder;Rubia;Agua;Agua
Cervecería Cartagena;Golden;Agua;Agua
Cervecería Cartagena;Porter;Agua;Agua
Cervecería Cartagena;Roja;Agua;Agua
Cervecería Festa;Barranquilla;Agua;Agua
Cervecería Panzer;Roja;Agua;Agua
Cervecería Resolana;Nuqui;Agua;Agua
Cervecería Resolana;Tayrona;Agua;Agua
Cervezas Kalima;Alexa;Agua;Agua
Cervezas Kalima;Finca;Agua;Agua
Cervezas Kalima;Más Música Local;Agua;Agua
Cervezas Kalima;Vinilo;Agua;Agua
Fierabrás;Dulcinea;Agua;Agua
Fierabrás;Isabel la Católica;Agua;Agua
Fierabrás;Juana de Arco;Agua;Agua
Fierabrás;Maria Antonieta;Agua;Agua
Lino Brewing Company;Colaa;Agua;Agua
Lino Brewing Company;Colpa;Agua;Agua
Lino Brewing Company;Cols;Agua;Agua
Lino Brewing Company;Neipa;Agua;Agua
Nevada Cerveceria;Happy Ayu;Agua;Agua
Nevada Cerveceria;Happy Colibrí;Agua;Agua
Nevada Cerveceria;Happy Garceta;Agua;Agua
Nevada Cerveceria;Happy Nebbi;Agua;Agua
Nevada Cerveceria;Happy Pava;Agua;Agua
Nevada Cerveceria;Happy Trepadora;Agua;Agua
Nevada Cerveceria;Happy Tucán;Agua;Agua
Perro Bravo;Saison;Agua;Agua
Perro Bravo;UchuvIPA;Agua;Agua
Rincón del Mar;Açaí;Agua;Agua
Rincón del Mar;Cacao;Agua;Agua
Rincón del Mar;Canábica;Agua;Agua
Rincón del Mar;Coca;Agua;Agua
Rincón del Mar;Colorada;Agua;Agua
Rincón del Mar;Gringa;Agua;Agua
Torrealta Cervecería;La Provinciana;Agua;Agua
Waresa Craft Beer;American Pale Ale;Agua;Agua
Waresa Craft Beer;Double IPA;Agua;Agua
Waresa Craft Beer;Scottish Export;Agua;Agua
Waresa Craft Beer;Weissbier;Agua;Agua
