municipio;departamento;latitud;longitud
Leticia;Amazonas;-4.215;-69.941111
Medellín;Antioquia;6.244747;-75.574828
Arauca;Arauca;7.090278;-70.761667
Barranquilla;Atlántico;10.983333;-74.801944
Cartagena;Bolívar;10.423611;-75.525278
Tunja;Boyacá;5.540278;-73.361389
Manizales;Caldas;5.066111;-75.484722
Florencia;Caquetá;1.614167;-75.611667
Yopal;Casanare;5.330556;-72.390556
Popayán;Cauca;2.4411;-76.6061
Valledupar;Cesar;10.460278;-73.259722
Quibdó;Chocó;5.692277;-76.658192
Montería;Córdoba;8.76;-75.885556
Bogotá;Cundinamarca;4.60971;-74.08175
Funza;Cundinamarca;4.7175;-74.209444
Inírida;Guainía;3.870833;-67.921111
Riohacha;Guajira;11.544167;-72.906944
San José del Guaviare;Guaviare;2.565278;-72.638611
Neiva;Huila;2.9275;-75.2875
Santa Marta;Magdalena;11.236111;-74.201667
Villavicencio;Meta;4.1425;-73.629444
Pasto;Nariño;1.21;-77.274722
Cúcuta;Norte de Santander;7.9075;-72.504722
Mocoa;Putumayo;1.149167;-76.646389
Armenia;Quindío;4.538889;-75.6725
Pereira;Risaralda;4.814278;-75.694558
San Andrés;San Andrés y Providencia;12.584722;-81.700556
Bucaramanga;Santander;7.118611;-73.116111
Sincelejo;Sucre;9.299444;-75.395833
Ibagué;Tolima;4.437778;-75.200556
Cali;Valle del Cauca;3.44;-76.519722
Mitú;Vaupes;1.250278;-70.235
Puerto Carreño;Vichada;6.190312;-67.483742
Palmira;Valle del Cauca; 3.534722;-76.295556
Tolú;Sucre;9.525;-75.581667
Soledad;Atlántico;10.909722;-74.785833
El Retiro;Antioquia;6.059722;-75.503889
